"Trait1","Trait2","Cov"
"colPC3","morphoPC2",2.68135818038612
"colPC2","morphoPC1",-2.48223387840544
"colPC5","morphoPC1",2.47956824763484
"colPC1","morphoPC5",-2.41586825661171
"colPC4","morphoPC1",2.40799665279945
"colPC1","morphoPC6",-2.04027363488977
"colPC1","morphoPC2",-1.85423074130475
"colPC1","morphoPC1",-1.75684259044985
"colPC7","morphoPC3",1.61121129967466
"colPC6","morphoPC4",-1.43169087094213
"colPC7","morphoPC1",-1.27345072387956
"colPC7","morphoPC2",-1.17516318235147
"colPC1","morphoPC7",-1.14140874705085
"colPC1","morphoPC4",1.1137723623855
"colPC2","morphoPC2",-1.10830687064099
"colPC3","morphoPC3",-1.07887590099432
"colPC4","morphoPC2",1.07236946543823
"colPC2","morphoPC7",-1.06146080029952
"colPC3","morphoPC1",0.986793318568878
"colPC8","morphoPC1",-0.928950950340978
"colPC6","morphoPC1",0.867094839068246
"colPC7","morphoPC6",-0.858489244771702
"colPC2","morphoPC4",0.84024463248721
"colPC8","morphoPC2",-0.834941266475096
"colPC6","morphoPC5",-0.80792690312315
"colPC4","morphoPC6",0.753298804116698
"colPC3","morphoPC8",0.741572809075238
"colPC2","morphoPC6",0.736600040148784
"colPC2","morphoPC8",0.628509282484203
"colPC7","morphoPC4",0.618368735226367
"colPC6","morphoPC2",-0.608550446780464
"colPC4","morphoPC7",-0.550331030384908
"colPC3","morphoPC5",0.452487540906061
"colPC8","morphoPC3",0.427764760813881
"colPC8","morphoPC6",-0.425580776419278
"colPC4","morphoPC5",-0.422194741979018
"colPC6","morphoPC6",0.415049369810197
"colPC5","morphoPC8",0.384136579404066
"colPC6","morphoPC7",0.36352045979204
"colPC4","morphoPC8",0.345217383686619
"colPC4","morphoPC4",0.34385377091039
"colPC6","morphoPC3",0.333612177482144
"colPC5","morphoPC7",-0.328771503402266
"colPC8","morphoPC8",0.326310802922947
"colPC2","morphoPC3",0.289587521519626
"colPC3","morphoPC4",0.273176907511972
"colPC3","morphoPC7",0.197192784815269
"colPC5","morphoPC3",0.196221879288554
"colPC5","morphoPC5",-0.186629126706528
"colPC5","morphoPC6",-0.184033323791797
"colPC1","morphoPC8",0.178968581207791
"colPC4","morphoPC3",-0.143930051803474
"colPC3","morphoPC6",-0.139945524394867
"colPC8","morphoPC7",-0.125510971596209
"colPC2","morphoPC5",0.124578027504466
"colPC6","morphoPC8",0.120269560216177
"colPC1","morphoPC3",-0.112518555742456
"colPC8","morphoPC5",0.107070258002433
"colPC8","morphoPC4",0.101807294224867
"colPC7","morphoPC5",-0.0960275803245963
"colPC7","morphoPC7",-0.0937447486860667
"colPC5","morphoPC2",0.0785606988724087
"colPC5","morphoPC4",0.0754575991768391
"colPC7","morphoPC8",-0.0526207367270933
